-370.000000 400.000000 -330.000000, -358.000000 235.000000 -165.000000, -137.000000 364.000000 -719.000000, -239.000000 135.000000 -698.000000, -10.000000 -236.000000 563.000000, -519.000000 210.000000 -380.000000, 206.000000 -115.000000 -673.000000, -337.000000 181.000000 -707.000000, 128.000000 -239.000000 653.000000, -29.000000 -6.000000 649.000000, 
-415.111267 264.501038 -353.561188, -484.850677 266.730377 -211.707169, -151.991974 346.210022 -595.753845, -152.460434 195.427872 -593.174255, -26.186232 -156.603500 620.659668, -567.122925 269.448517 -344.822083, 221.815353 -94.206711 -533.435669, -288.956329 270.958405 -598.258911, 124.776512 -160.480499 619.907593, 52.118313 -22.157217 619.713867, 
-415.102692 264.503235 -353.536194, -484.899628 266.721283 -211.712692, -151.991989 346.210022 -595.753967, -152.464066 195.426147 -593.178833, -26.204605 -156.569244 620.650940, -567.108276 269.458557 -344.873169, 221.815353 -94.206711 -533.435608, -288.958221 270.961456 -598.251709, 124.762642 -160.520096 619.907227, 52.163155 -22.165022 619.721558, 
-415.106903 264.507355 -353.519775, -484.926056 266.703552 -211.719208, -151.989838 346.207672 -595.751465, -152.467987 195.425415 -593.185791, -26.214169 -156.543808 620.650696, -567.098877 269.475006 -344.908447, 221.815353 -94.206718 -533.435547, -288.964172 270.962677 -598.237671, 124.752396 -160.533981 619.903320, 52.188042 -22.160769 619.724792, 
-415.091797 264.498718 -353.490692, -484.967865 266.700928 -211.720428, -151.992599 346.206451 -595.748901, -152.475830 195.425003 -593.198242, -26.223577 -156.516327 620.649841, -567.085876 269.487122 -344.946777, 221.815353 -94.206711 -533.435608, -288.970032 270.964111 -598.229614, 124.740005 -160.539642 619.906494, 52.202785 -22.150154 619.722778, 
-415.077057 264.488770 -353.452881, -485.037018 266.699219 -211.722855, -151.992096 346.204071 -595.746521, -152.479813 195.421188 -593.204407, -26.232388 -156.497269 620.638367, -567.069214 269.500427 -345.007904, 221.815353 -94.206711 -533.435669, -288.970795 270.967255 -598.226624, 124.731949 -160.543625 619.901917, 52.219284 -22.144863 619.736267, 
-415.055298 264.492798 -353.413544, -485.110107 266.677490 -211.727356, -151.992096 346.204071 -595.746521, -152.479813 195.421188 -593.204285, -26.234015 -156.479385 620.622131, -567.045593 269.523895 -345.077179, 221.815353 -94.206703 -533.435547, -288.970795 270.967224 -598.226624, 124.730179 -160.550278 619.899231, 52.238556 -22.140396 619.752136, 
-415.032257 264.516449 -353.361298, -485.168854 266.652283 -211.723343, -151.992096 346.204071 -595.746521, -152.479813 195.421188 -593.204163, -26.232716 -156.460022 620.612183, -567.028809 269.532074 -345.126495, 221.815353 -94.206718 -533.435608, -288.970795 270.967285 -598.226624, 124.726143 -160.564102 619.900330, 52.255127 -22.134878 619.759399, 
-414.998535 264.514771 -353.303711, -485.221985 266.645721 -211.714478, -151.992096 346.204071 -595.746521, -152.479813 195.421188 -593.204224, -26.237621 -156.450165 620.612427, -566.990723 269.541290 -345.188751, 221.815353 -94.206703 -533.435608, -288.970795 270.967285 -598.226624, 124.724739 -160.569016 619.897461, 52.266560 -22.135710 619.761536, 
-414.972992 264.520844 -353.226898, -485.296265 266.634583 -211.699371, -151.992096 346.204041 -595.746460, -152.479843 195.421188 -593.204163, -26.242466 -156.439346 620.608276, -566.968689 269.545654 -345.236511, 221.815353 -94.206711 -533.435669, -288.971893 270.970703 -598.223022, 124.719788 -160.571030 619.899719, 52.272964 -22.132223 619.763306, 
-414.946838 264.519745 -353.170441, -485.353088 266.639496 -211.692612, -151.992096 346.204102 -595.746521, -152.479813 195.421188 -593.204102, -26.244839 -156.438507 620.605408, -566.951904 269.543915 -345.268433, 221.815353 -94.206718 -533.435608, -288.972961 270.968506 -598.219421, 124.714432 -160.578995 619.905396, 52.279224 -22.133657 619.760925, 
-414.917664 264.500183 -353.129181, -485.411102 266.643646 -211.697647, -151.992096 346.204071 -595.746399, -152.477707 195.419525 -593.208557, -26.249519 -156.434845 620.601257, -566.919617 269.556244 -345.333130, 221.815353 -94.206703 -533.435608, -288.972382 270.969360 -598.212280, 124.708107 -160.588943 619.907898, 52.284199 -22.135759 619.762573, 
