-184.541504 155.360550 464.653931, -373.370270 436.851044 -214.187225, -241.675049 500.255188 -125.273766, -372.426056 589.674744 -189.901505, -519.012634 -6.173396 21.881012, 460.519440 66.385399 -320.575195, -183.693710 156.329102 605.168518, 459.246429 143.484451 -456.509033, 460.330170 217.050797 -318.749054, -240.626740 525.072510 -277.693817, 
-184.541489 155.360550 464.653961, -373.391876 436.830933 -213.965820, -241.674042 500.467010 -125.251801, -372.447784 589.703247 -190.121140, -519.012634 -6.173396 21.881012, 460.525024 66.386360 -320.574951, -183.693680 156.329102 605.168640, 459.247711 143.484070 -456.509796, 460.322968 217.051270 -318.750244, -240.632706 524.865295 -277.729919, 
-184.541489 155.360550 464.653931, -373.410706 436.804626 -213.755600, -241.661850 500.647858 -125.236176, -372.461151 589.708862 -190.319763, -519.012695 -6.173396 21.881012, 460.529419 66.385048 -320.574249, -183.693710 156.329086 605.168518, 459.248718 143.483688 -456.508209, 460.317322 217.051086 -318.749237, -240.633835 524.679077 -277.769135, 
-184.541489 155.360565 464.653931, -373.396057 436.772491 -213.548386, -241.632156 500.842072 -125.232262, -372.478149 589.716125 -190.536652, -519.012634 -6.173396 21.881012, 460.532928 66.386581 -320.572571, -183.693710 156.329102 605.168579, 459.248901 143.484177 -456.507111, 460.313629 217.052795 -318.748657, -240.616623 524.517151 -277.806122, 
-184.541489 155.360535 464.653931, -373.398529 436.738495 -213.363571, -241.611862 501.005127 -125.219101, -372.481903 589.716614 -190.728912, -519.012634 -6.173396 21.881012, 460.538757 66.388084 -320.573151, -183.693710 156.329102 605.168640, 459.247986 143.484543 -456.507904, 460.308838 217.053741 -318.748901, -240.605438 524.362671 -277.833130, 
-184.541489 155.360565 464.653931, -373.404114 436.703827 -213.196320, -241.616592 501.186890 -125.188957, -372.510681 589.709717 -190.923294, -519.012695 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693680 156.329132 605.168579, 459.248077 143.484528 -456.507904, 460.308167 217.054718 -318.748688, -240.608475 524.198547 -277.860046, 
-184.541473 155.360550 464.653931, -373.412476 436.667664 -213.038239, -241.607437 501.361481 -125.171265, -372.520447 589.712585 -191.095474, -519.012573 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693726 156.329086 605.168579, 459.248047 143.484543 -456.507904, 460.308167 217.054718 -318.748718, -240.599564 524.037781 -277.871490, 
-184.541473 155.360550 464.653931, -373.427826 436.640472 -212.892929, -241.605209 501.523743 -125.154701, -372.528046 589.714294 -191.265762, -519.012634 -6.173396 21.881012, 460.539459 66.389038 -320.573364, -183.693695 156.329102 605.168579, 459.247986 143.484543 -456.507935, 460.308136 217.054718 -318.748688, -240.564194 523.862793 -277.869629, 
-184.541489 155.360535 464.653931, -373.448669 436.613861 -212.753265, -241.608002 501.656708 -125.140945, -372.532990 589.716492 -191.433060, -519.012634 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693710 156.329086 605.168701, 459.247986 143.484528 -456.507904, 460.308136 217.054718 -318.748688, -240.548401 523.699951 -277.880798, 
-184.541489 155.360535 464.653931, -373.462860 436.592041 -212.608521, -241.621902 501.792053 -125.119751, -372.547333 589.732300 -191.604050, -519.012634 -6.173396 21.881012, 460.539368 66.389038 -320.573364, -183.693710 156.329086 605.168579, 459.247986 143.484558 -456.507996, 460.308136 217.054718 -318.748718, -240.535446 523.553772 -277.882965, 
-184.541504 155.360535 464.653961, -373.484314 436.579803 -212.477371, -241.634506 501.902527 -125.101624, -372.556549 589.740601 -191.759796, -519.012512 -6.173396 21.881012, 460.539368 66.389046 -320.573303, -183.693710 156.329132 605.168701, 459.248047 143.484528 -456.507904, 460.308136 217.054718 -318.748718, -240.517624 523.413391 -277.888489, 
