346.000000 -595.000000 -576.000000, -443.000000 -356.000000 -37.000000, 390.000000 -544.000000 -663.000000, 339.000000 -557.000000 -675.000000, -400.000000 -313.000000 -35.000000, 340.000000 -495.000000 -674.000000, 583.000000 -363.000000 -608.000000, 33.000000 399.000000 256.000000, -529.000000 817.000000 446.000000, -733.000000 551.000000 435.000000, 
443.010681 -564.945068 -533.994629, -467.367767 -258.446533 -97.992752, 521.535339 -496.264130 -683.696411, 378.862671 -556.384399 -675.671692, -326.996094 -257.760193 -95.874580, 373.082855 -414.523407 -612.427673, 512.769653 -425.700165 -545.120544, -82.707359 488.678375 349.011169, -617.389587 750.143005 340.724396, -616.576050 609.473022 341.152893, 
443.055603 -564.949768 -534.007935, -467.367767 -258.446533 -97.992744, 521.523560 -496.243774 -683.713562, 378.856293 -556.389526 -675.664307, -326.996124 -257.760223 -95.874580, 373.077393 -414.531036 -612.408569, 512.770325 -425.682343 -545.126038, -82.707359 488.678345 349.011169, -617.389709 750.143005 340.724457, -616.575989 609.473022 341.152863, 
443.080750 -564.951660 -534.013428, -467.367767 -258.446594 -97.992744, 521.511230 -496.219604 -683.727173, 378.853912 -556.389038 -675.655701, -326.996155 -257.760193 -95.874580, 373.064117 -414.536530 -612.391846, 512.770630 -425.677460 -545.126709, -82.707344 488.678436 349.011169, -617.389709 750.143005 340.724396, -616.576050 609.473022 341.152863, 
443.098572 -564.956848 -534.020569, -467.367767 -258.446533 -97.992744, 521.499451 -496.197662 -683.736755, 378.853333 -556.390686 -675.657959, -326.996033 -257.760223 -95.874580, 373.049957 -414.545135 -612.375488, 512.769165 -425.672607 -545.130310, -82.707344 488.678345 349.011169, -617.389709 750.143005 340.724457, -616.576050 609.472961 341.152832, 
443.122437 -564.957947 -534.027710, -467.367767 -258.446533 -97.992744, 521.494263 -496.184387 -683.745850, 378.844849 -556.389709 -675.654602, -326.996063 -257.760284 -95.874580, 373.035767 -414.556335 -612.356079, 512.763184 -425.660126 -545.138000, -82.707352 488.678436 349.011169, -617.389648 750.143005 340.724457, -616.575867 609.472900 341.152863, 
443.150238 -564.965942 -534.036072, -467.367767 -258.446533 -97.992744, 521.482422 -496.164032 -683.756714, 378.843750 -556.392822 -675.653320, -326.996094 -257.760254 -95.874580, 373.023804 -414.566895 -612.330933, 512.760742 -425.647186 -545.143066, -82.707344 488.678436 349.011169, -617.389709 750.143066 340.724457, -616.575989 609.473022 341.152863, 
443.182617 -564.972839 -534.049011, -467.367767 -258.446594 -97.992744, 521.481689 -496.143982 -683.769653, 378.840729 -556.392029 -675.645020, -326.996124 -257.760193 -95.874580, 373.013123 -414.577057 -612.312500, 512.757935 -425.640869 -545.145203, -82.707359 488.678375 349.011169, -617.389648 750.143127 340.724457, -616.576050 609.472900 341.152832, 
443.213745 -564.981567 -534.057434, -467.367767 -258.446594 -97.992744, 521.476440 -496.115326 -683.776306, 378.839294 -556.392639 -675.635864, -326.996124 -257.760162 -95.874580, 372.995575 -414.593536 -612.291626, 512.762146 -425.636200 -545.143494, -82.707344 488.678375 349.011139, -617.389709 750.143127 340.724457, -616.576050 609.473022 341.152771, 
443.237793 -564.990601 -534.061279, -467.367767 -258.446594 -97.992744, 521.476257 -496.096558 -683.784790, 378.844299 -556.396057 -675.625610, -326.996033 -257.760223 -95.874580, 372.987183 -414.603821 -612.283142, 512.753906 -425.629425 -545.145203, -82.707344 488.678436 349.011108, -617.389587 750.143005 340.724487, -616.576050 609.472900 341.152893, 
443.256317 -564.993347 -534.065308, -467.367767 -258.446594 -97.992744, 521.482056 -496.082245 -683.787903, 378.852417 -556.401917 -675.621582, -326.996094 -257.760223 -95.874588, 372.985474 -414.609009 -612.281128, 512.746277 -425.619598 -545.144287, -82.707344 488.678436 349.011108, -617.389709 750.143066 340.724457, -616.576050 609.473083 341.152893, 
443.264374 -564.994141 -534.066345, -467.367767 -258.446594 -97.992744, 521.482910 -496.074951 -683.785645, 378.858154 -556.407166 -675.623962, -326.996094 -257.760223 -95.874588, 372.980988 -414.616150 -612.277832, 512.742615 -425.612457 -545.140198, -82.707352 488.678375 349.011108, -617.389709 750.143066 340.724396, -616.576050 609.473022 341.152832, 
443.268555 -564.994141 -534.066284, -467.367767 -258.446533 -97.992744, 521.482849 -496.061554 -683.783691, 378.866669 -556.409851 -675.624634, -326.996124 -257.760193 -95.874580, 372.971558 -414.621521 -612.271118, 512.739929 -425.605652 -545.140747, -82.707352 488.678375 349.011169, -617.389587 750.143066 340.724457, -616.576050 609.473022 341.152771, 
443.271240 -564.995667 -534.070679, -467.367767 -258.446594 -97.992744, 521.483032 -496.044373 -683.783142, 378.867371 -556.411133 -675.627441, -326.996094 -257.760223 -95.874580, 372.967224 -414.625671 -612.269348, 512.736511 -425.608459 -545.129395, -82.707344 488.678436 349.011139, -617.389709 750.143005 340.724457, -616.576111 609.473083 341.152832, 
443.277039 -564.996826 -534.072998, -467.367767 -258.446533 -97.992744, 521.485168 -496.029602 -683.784180, 378.875946 -556.414246 -675.630676, -326.996124 -257.760162 -95.874580, 372.964630 -414.628357 -612.267273, 512.735718 -425.610107 -545.126099, -82.707344 488.678375 349.011169, -617.389587 750.143005 340.724396, -616.576050 609.472900 341.152832, 
443.277039 -564.996887 -534.073059, -467.367767 -258.446625 -97.992744, 521.489746 -496.019684 -683.780457, 378.882721 -556.416748 -675.633972, -326.996094 -257.760193 -95.874580, 372.963531 -414.630219 -612.267456, 512.732361 -425.612274 -545.117676, -82.707352 488.678375 349.011169, -617.389587 750.143066 340.724396, -616.576050 609.473022 341.152832, 
443.279724 -564.999329 -534.078003, -467.367767 -258.446533 -97.992737, 521.492371 -496.008087 -683.781372, 378.890137 -556.426697 -675.633728, -326.996094 -257.760193 -95.874580, 372.960724 -414.633911 -612.272644, 512.730713 -425.614136 -545.114380, -82.707352 488.678436 349.011139, -617.389587 750.143066 340.724457, -616.575928 609.473083 341.152863, 
443.281250 -565.001038 -534.077820, -467.367767 -258.446594 -97.992744, 521.492432 -496.008087 -683.781372, 378.890137 -556.426514 -675.633728, -326.996124 -257.760223 -95.874580, 372.960724 -414.635590 -612.270996, 512.730774 -425.614136 -545.114380, -82.707359 488.678345 349.011169, -617.389709 750.143005 340.724396, -616.576050 609.473022 341.152832, 
443.281250 -565.001099 -534.077759, -467.367767 -258.446594 -97.992744, 521.492432 -496.008087 -683.781372, 378.890137 -556.426514 -675.633789, -326.996094 -257.760162 -95.874580, 372.960754 -414.635590 -612.270996, 512.730713 -425.614166 -545.114380, -82.707359 488.678375 349.011139, -617.389587 750.143005 340.724457, -616.575989 609.472900 341.152863, 
