-724.791260 -447.246735 -420.130829, 183.811920 577.052979 -696.521790, 179.702682 730.448669 -690.555176, -584.164246 -445.161682 -422.556519, 315.887848 649.954834 -618.104492, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.979767 660.324219 -771.299988, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.831604 577.031738 -696.465881, 179.680786 730.429993 -690.576477, -584.164307 -445.161682 -422.556519, 315.915100 650.015503 -618.082397, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.934174 660.286621 -771.296509, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.875839 576.990295 -696.416870, 179.680023 730.417786 -690.583008, -584.164307 -445.161682 -422.556519, 315.946198 650.110657 -618.083130, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.902313 660.244080 -771.314392, 638.123535 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 183.917038 576.975220 -696.387451, 179.659851 730.408936 -690.588806, -584.164307 -445.161682 -422.556519, 315.962646 650.190491 -618.066772, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.885162 660.222778 -771.316711, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.959625 576.940735 -696.366089, 179.636932 730.383972 -690.605164, -584.164246 -445.161682 -422.556519, 315.974915 650.263000 -618.070618, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.874756 660.173828 -771.332031, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 183.989990 576.933105 -696.274780, 179.636353 730.371765 -690.612000, -584.164246 -445.161682 -422.556519, 316.018372 650.331604 -618.062805, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.845001 660.120911 -771.351685, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 184.014297 576.918152 -696.186646, 179.649734 730.369202 -690.631592, -584.164246 -445.161682 -422.556519, 316.067169 650.384460 -618.089600, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.822998 660.073425 -771.383118, 638.123474 -501.772583 380.324310, 
-724.791321 -447.246735 -420.130829, 184.020020 576.907898 -696.082947, 179.657043 730.370667 -690.665833, -584.164307 -445.161682 -422.556519, 316.102295 650.452942 -618.126465, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191818, 313.774750 660.015564 -771.441040, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.058456 576.882507 -695.960938, 179.649002 730.358765 -690.687866, -584.164307 -445.161682 -422.556519, 316.179688 650.560242 -618.189148, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191788, 313.751038 659.971375 -771.479309, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.086212 576.869324 -695.883484, 179.637299 730.361084 -690.697083, -584.164307 -445.161682 -422.556519, 316.236511 650.620422 -618.217651, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191788, 313.698425 659.958374 -771.506348, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.084198 576.840210 -695.743225, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.253235 650.668823 -618.236633, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191833, 313.599426 659.920654 -771.551758, 638.123352 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.080872 576.823853 -695.688110, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.270416 650.698242 -618.234314, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191803, 313.565826 659.891602 -771.548340, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.100067 576.835815 -695.672974, 179.616241 730.364136 -690.736694, -584.164185 -445.161682 -422.556519, 316.293396 650.709778 -618.224731, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191833, 313.565826 659.891602 -771.548401, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.106720 576.844788 -695.663330, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.307861 650.712463 -618.222107, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883629, -243.868546 -346.850647 128.191818, 313.565857 659.891602 -771.548340, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.106705 576.854675 -695.643066, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.329010 650.714417 -618.230225, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883629, -243.868546 -346.850647 128.191818, 313.565857 659.891602 -771.548340, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.113815 576.866638 -695.607300, 179.616241 730.364136 -690.736694, -584.164307 -445.161682 -422.556519, 316.364166 650.725952 -618.241333, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.565887 659.891541 -771.548340, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.128555 576.858093 -695.594666, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.370483 650.746338 -618.241821, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191818, 313.565887 659.891541 -771.548340, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.128571 576.847168 -695.575745, 179.616241 730.364136 -690.736694, -584.164246 -445.161682 -422.556519, 316.370453 650.746399 -618.241821, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.545197 659.889221 -771.555237, 638.123474 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.120178 576.848999 -695.557373, 179.616241 730.364136 -690.736694, -584.164185 -445.161682 -422.556519, 316.370514 650.746338 -618.241821, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883636, -243.868546 -346.850647 128.191803, 313.533051 659.874268 -771.561523, 638.123596 -501.772583 380.324310, 
-724.791260 -447.246735 -420.130829, 184.120178 576.848999 -695.557373, 179.616241 730.364136 -690.736694, -584.164307 -445.161682 -422.556519, 316.370514 650.746338 -618.241821, 496.957581 -500.786896 384.235565, -103.518257 -349.117798 127.883644, -243.868546 -346.850647 128.191803, 313.533051 659.874268 -771.561523, 638.123596 -501.772583 380.324310, 
