-707.494995 -529.453918 66.503479, -596.331055 -361.195526 -52.985172, -650.794983 -358.924988 84.347954, -261.161194 -534.898132 540.940491, -712.282654 -673.928589 -73.966293, -452.220917 508.794922 694.536804, -556.064636 -499.602692 56.800804, -563.736389 -570.128784 -96.312347, -705.273865 -501.298340 -75.161263, -604.345032 -677.793335 30.294687, 
-707.426758 -530.443665 66.270309, -594.063843 -360.838165 -52.251831, -652.643799 -358.947418 83.621315, -261.161224 -534.898132 540.940430, -710.988586 -673.572693 -75.671570, -452.220917 508.794922 694.536743, -556.096863 -499.025909 57.925255, -563.431641 -568.136902 -95.344757, -705.529236 -499.923096 -74.997169, -604.638123 -678.132751 30.043982, 
-707.527405 -531.587891 66.047539, -591.650269 -360.516174 -51.369808, -654.398621 -359.034668 83.086479, -261.161163 -534.898010 540.940491, -709.432556 -673.339600 -77.499092, -452.220917 508.794922 694.536743, -556.152405 -498.408142 59.173100, -563.224121 -565.953979 -94.265274, -705.978943 -498.435608 -74.798744, -604.643921 -678.371460 29.589409, 
-707.658264 -532.716736 65.855080, -589.824219 -360.132843 -50.441730, -655.984192 -359.215973 82.474052, -261.161255 -534.898010 540.940552, -708.298218 -672.801208 -79.130737, -452.220917 508.794922 694.536743, -556.302673 -497.906586 60.423447, -563.196045 -563.707886 -93.225525, -706.473022 -497.272308 -74.815239, -604.611633 -678.562988 28.882084, 
-707.816528 -533.821838 65.565392, -587.903015 -360.078033 -49.891594, -657.377930 -359.075989 81.618362, -261.161224 -534.898071 540.940552, -707.356873 -672.368469 -80.592941, -452.220917 508.794922 694.536682, -556.407654 -497.549255 61.801544, -563.207214 -561.792419 -92.117767, -706.678345 -496.233795 -74.805176, -604.661377 -678.924438 28.255857, 
-707.947876 -534.622314 65.249031, -586.365540 -360.055298 -49.372356, -658.528381 -359.092438 81.040001, -261.161133 -534.898010 540.940430, -706.529358 -671.840698 -81.621887, -452.220917 508.794922 694.536743, -556.632263 -497.257782 63.025528, -563.381775 -560.038940 -91.183167, -706.906372 -495.458038 -74.720322, -604.411499 -679.137939 27.618189, 
-708.026978 -535.292053 64.997009, -585.461914 -359.961823 -48.827934, -659.466858 -359.124542 80.723328, -261.161194 -534.898010 540.940491, -705.855957 -671.255615 -82.493546, -452.220917 508.794922 694.536682, -556.790588 -497.001953 64.189613, -563.376526 -558.299500 -90.402016, -707.050720 -494.681000 -74.527092, -604.145447 -679.242737 27.074047, 
-708.111938 -536.057983 64.742500, -584.625061 -359.760681 -48.377079, -660.431641 -359.286865 80.427269, -261.161163 -534.898010 540.940430, -705.230591 -671.005310 -83.156586, -452.220917 508.794922 694.536682, -556.853271 -496.583862 65.156517, -563.460388 -556.523987 -89.420372, -707.264587 -493.868866 -74.409554, -603.755066 -679.318542 26.410496, 
-708.187012 -536.587830 64.649048, -583.562561 -359.616058 -47.911572, -661.269958 -359.345795 80.037071, -261.161255 -534.898071 540.940430, -704.517395 -670.621643 -83.971359, -452.220917 508.794922 694.536682, -556.874329 -496.225922 66.144585, -563.631409 -554.828796 -88.492378, -707.539795 -492.947540 -74.397408, -603.420288 -679.352173 25.712172, 
-708.311157 -537.148193 64.551758, -582.355408 -359.357544 -47.265491, -662.130615 -359.344727 79.749657, -261.161224 -534.898010 540.940430, -703.872925 -670.464478 -84.753273, -452.220917 508.794922 694.536743, -557.003113 -495.755371 66.944725, -563.692566 -553.453674 -87.793648, -707.831665 -492.019562 -74.246056, -603.308289 -679.406982 25.280294, 
-708.289062 -537.699951 64.317780, -581.430359 -359.101074 -46.511578, -663.195618 -359.332092 79.501526, -261.161194 -534.898010 540.940491, -703.147888 -670.123657 -85.447845, -452.220917 508.794922 694.536682, -557.039246 -495.381958 67.712738, -563.607666 -552.015869 -87.116417, -708.045532 -491.289551 -74.095070, -603.135376 -679.542847 24.631329, 
-708.383667 -538.256042 64.189606, -580.381470 -359.018005 -45.716549, -664.071411 -359.316711 79.225143, -261.161194 -534.898132 540.940491, -702.512085 -669.749023 -86.199158, -452.220917 508.794922 694.536682, -557.091125 -495.190643 68.310341, -563.585571 -550.877686 -86.647057, -708.062439 -490.500854 -74.044907, -603.029541 -679.725464 24.130899, 
-708.418152 -538.605469 63.863407, -578.863647 -358.811157 -44.634148, -665.236267 -359.388519 78.861443, -261.161194 -534.898010 540.940430, -702.188782 -669.465637 -86.702972, -452.220917 508.794922 694.536804, -557.300354 -495.188904 68.941124, -563.600891 -550.081848 -86.184036, -708.054077 -489.612366 -73.997116, -603.004395 -679.894470 23.874771, 
-708.606934 -539.083191 63.499554, -577.363708 -358.798157 -43.612965, -666.685120 -359.515167 78.275299, -261.161133 -534.898010 540.940430, -701.923279 -669.261841 -86.966522, -452.220917 508.794922 694.536743, -557.536804 -494.836670 69.667908, -563.583069 -549.465576 -85.777641, -708.031067 -488.806274 -74.207535, -602.926086 -679.943237 23.586094, 
-708.763855 -539.728699 63.157722, -575.608887 -359.017853 -42.540379, -668.165466 -359.541199 77.532227, -261.161224 -534.898010 540.940430, -701.495667 -669.175049 -87.383568, -452.220917 508.794922 694.536682, -557.739685 -494.358124 70.273743, -563.602844 -548.814392 -85.349419, -708.173462 -487.941315 -74.366516, -602.657959 -679.918945 23.344603, 
-708.917969 -540.449097 62.927788, -574.643494 -359.014160 -41.874672, -669.134583 -359.593750 76.984810, -261.161224 -534.898071 540.940430, -701.244141 -669.055298 -87.785393, -452.220917 508.794922 694.536743, -558.005737 -493.982849 70.690498, -563.705872 -548.418884 -84.978104, -708.290405 -487.345367 -74.586487, -602.231995 -679.857117 23.081455, 
