-265.153503 -353.746307 258.095734, -266.784119 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.342957 464.029846, -720.337158 -257.611328 -207.480667, -709.087891 -319.485565 -65.087242, -646.514282 -177.221436 -58.530323, 483.819824 634.519409 -113.936432, -582.588989 -184.099548 -200.270401, -569.224182 -326.260986 -132.012558, 
-265.153503 -353.746307 258.095764, -266.784149 -356.375031 117.839066, 482.819366 637.068787 26.462795, 500.071198 -449.342987 464.029877, -720.371094 -257.561859 -207.465668, -709.084412 -319.490540 -65.099609, -646.469055 -177.248428 -58.509689, 483.819824 634.519409 -113.936432, -582.586365 -184.072449 -200.256500, -569.263855 -326.291931 -132.115952, 
-265.153503 -353.746338 258.095764, -266.784088 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071198 -449.342987 464.029877, -720.399170 -257.476685 -207.427246, -709.057373 -319.495331 -65.084541, -646.420288 -177.269806 -58.479183, 483.819824 634.519409 -113.936432, -582.577759 -184.038132 -200.245987, -569.272339 -326.293762 -132.207474, 
-265.153534 -353.746368 258.095764, -266.784088 -356.375031 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.342987 464.029907, -720.420410 -257.419067 -207.401276, -709.026245 -319.521088 -65.081139, -646.359436 -177.291199 -58.448589, 483.819824 634.519409 -113.936432, -582.585083 -184.016266 -200.241013, -569.299744 -326.316315 -132.302017, 
-265.153503 -353.746338 258.095764, -266.784088 -356.375031 117.839066, 482.819366 637.068787 26.462795, 500.071198 -449.342987 464.029877, -720.428223 -257.360046 -207.382339, -708.991150 -319.508148 -65.061172, -646.282349 -177.336105 -58.418144, 483.819824 634.519409 -113.936432, -582.572327 -183.972839 -200.226852, -569.306702 -326.346313 -132.433090, 
-265.153473 -353.746338 258.095703, -266.784119 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.343048 464.029907, -720.436035 -257.305298 -207.363205, -708.860413 -319.549652 -64.991966, -646.239136 -177.373581 -58.399334, 483.819824 634.519409 -113.936432, -582.538330 -183.965485 -200.224884, -569.291992 -326.343201 -132.593613, 
-265.153503 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.819366 637.068665 26.462795, 500.071106 -449.342987 464.029907, -720.458618 -257.249054 -207.323502, -708.760925 -319.593475 -64.947754, -646.178467 -177.407059 -58.379856, 483.819824 634.519348 -113.936432, -582.520935 -183.942520 -200.212158, -569.286438 -326.360138 -132.739883, 
-265.153503 -353.746338 258.095703, -266.784119 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.342957 464.029877, -720.481934 -257.230225 -207.310959, -708.709412 -319.606964 -64.929276, -646.154602 -177.437210 -58.376362, 483.819824 634.519348 -113.936432, -582.531128 -183.900833 -200.186066, -569.289673 -326.389435 -132.870239, 
-265.153503 -353.746307 258.095703, -266.784149 -356.375061 117.839066, 482.819366 637.068848 26.462795, 500.071198 -449.343048 464.029907, -720.515137 -257.205109 -207.301758, -708.682312 -319.616455 -64.913826, -646.140137 -177.457916 -58.358440, 483.819824 634.519409 -113.936432, -582.536377 -183.882339 -200.170227, -569.310852 -326.390900 -132.968796, 
-265.153503 -353.746338 258.095764, -266.784088 -356.375031 117.839066, 482.819366 637.068848 26.462795, 500.071167 -449.342957 464.029907, -720.533630 -257.183014 -207.293472, -708.637817 -319.636871 -64.882210, -646.140137 -177.457916 -58.358440, 483.819824 634.519409 -113.936432, -582.536377 -183.882339 -200.170227, -569.328491 -326.391296 -133.015137, 
-265.153564 -353.746338 258.095734, -266.784119 -356.375031 117.839066, 482.819366 637.068726 26.462795, 500.071167 -449.342957 464.029846, -720.554871 -257.164459 -207.278961, -708.603455 -319.647400 -64.887573, -646.121643 -177.472855 -58.351185, 483.819824 634.519287 -113.936432, -582.541504 -183.873947 -200.172775, -569.323975 -326.402527 -133.069839, 
-265.153503 -353.746338 258.095764, -266.784149 -356.375031 117.839066, 482.819366 637.068726 26.462795, 500.071198 -449.342987 464.029846, -720.569885 -257.144684 -207.270615, -708.593506 -319.646973 -64.887825, -646.108948 -177.479446 -58.345715, 483.819824 634.519409 -113.936432, -582.541504 -183.873947 -200.172775, -569.337280 -326.417755 -133.110229, 
-265.153503 -353.746338 258.095734, -266.784088 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.342987 464.029785, -720.582764 -257.103546 -207.254471, -708.582764 -319.649811 -64.886116, -646.067749 -177.493271 -58.323746, 483.819824 634.519409 -113.936432, -582.541504 -183.873932 -200.172775, -569.347473 -326.429077 -133.128601, 
-265.153503 -353.746338 258.095734, -266.784119 -356.374969 117.839066, 482.819366 637.068726 26.462795, 500.071167 -449.342957 464.029846, -720.576477 -257.077332 -207.247375, -708.582764 -319.649811 -64.886093, -646.058960 -177.497192 -58.315479, 483.819824 634.519470 -113.936432, -582.520020 -183.875992 -200.173264, -569.347473 -326.429108 -133.128586, 
-265.153534 -353.746368 258.095764, -266.784149 -356.375061 117.839066, 482.819366 637.068787 26.462795, 500.071106 -449.342987 464.029907, -720.568237 -257.048767 -207.247482, -708.582764 -319.649841 -64.886116, -646.053040 -177.501297 -58.305641, 483.819824 634.519409 -113.936432, -582.497498 -183.880905 -200.166641, -569.347473 -326.429108 -133.128586, 
-265.153503 -353.746338 258.095764, -266.784149 -356.374969 117.839066, 482.819366 637.068787 26.462795, 500.071167 -449.343048 464.029846, -720.566528 -257.036987 -207.244629, -708.582764 -319.649811 -64.886093, -646.053101 -177.501297 -58.305641, 483.819824 634.519409 -113.936432, -582.471191 -183.895950 -200.147446, -569.355103 -326.448364 -133.133850, 
-265.153503 -353.746338 258.095734, -266.784149 -356.374969 117.839066, 482.819366 637.068726 26.462795, 500.071198 -449.342987 464.029846, -720.566528 -257.036987 -207.244629, -708.582764 -319.649780 -64.886093, -646.053101 -177.501282 -58.305641, 483.819824 634.519409 -113.936432, -582.466064 -183.904358 -200.144913, -569.357910 -326.454773 -133.129730, 
-265.153442 -353.746307 258.095764, -266.784149 -356.375061 117.839066, 482.819366 637.068848 26.462795, 500.071198 -449.342987 464.029907, -720.566589 -257.036957 -207.244629, -708.582825 -319.649811 -64.886101, -646.053101 -177.501297 -58.305641, 483.819824 634.519409 -113.936432, -582.466125 -183.904358 -200.144913, -569.357971 -326.454742 -133.129730, 
